id,date,user_username,user_displayname,content,like_count,retweet_count,reply_count,quote_count,lang,url,external_urls
1968618665378464155,2025-09-18 10:10:39+00:00,,,"Enlace a #FabryLink 
⛓️‍💥https://t.co/3faZOlFNSt

#Fabry #RedFabry https://t.co/9RWSWdjrbM",0,0,0,0,es,https://x.com/i/web/status/1968618665378464155,https://www.linkedin.com/groups/13127985/ https://x.com/AinhoaRobles/status/1968618665378464155/photo/1
1968418173977313448,2025-09-17 20:53:58+00:00,,,"RT @mariangoicoeche: Enlace a #FabryLink 📷️‍📷 https://t.co/Z3Z6H4ytV9

#Fabry #RedFabry https://t.co/uncZMAYMR6",0,1,0,0,es,https://x.com/i/web/status/1968418173977313448,https://www.linkedin.com/groups/13127985/ https://x.com/mariangoicoeche/status/1968387801944297791/photo/1
1968387801944297791,2025-09-17 18:53:17+00:00,,,"Enlace a #FabryLink 📷️‍📷 https://t.co/Z3Z6H4ytV9

#Fabry #RedFabry https://t.co/uncZMAYMR6",3,1,0,0,es,https://x.com/i/web/status/1968387801944297791,https://www.linkedin.com/groups/13127985/ https://x.com/mariangoicoeche/status/1968387801944297791/photo/1
1968287512792862796,2025-09-17 12:14:46+00:00,,,"RT @JavierLimeres: 💡Si buscas apoyo e información sobre la enfermedad de Fabry, únete a nuestro grupo privado de LinkedIn, #FabryLink, para…",0,1,0,0,es,https://x.com/i/web/status/1968287512792862796,
1968192360309010665,2025-09-17 05:56:40+00:00,,,"RT @MPSpapas: Chiesi presenta nuevas presentaciones sobre #Fabry y #AlfaManosidosis en el ICIEM 2025
#enfermedadesraras  https://t.co/4rpdo…",0,1,0,0,es,https://x.com/i/web/status/1968192360309010665,https://t.co/4rpdo
1968183859243258166,2025-09-17 05:22:53+00:00,,,"Chiesi presenta nuevas presentaciones sobre #Fabry y #AlfaManosidosis en el ICIEM 2025
#enfermedadesraras  https://t.co/4rpdoKeHFC vía @IMMedicoHosp",2,1,0,0,es,https://x.com/i/web/status/1968183859243258166,https://www.immedicohospitalario.es/noticia/52754/chiesi-presenta-nuevas-presentaciones-sobre-fabry-y-alfa-manosidosis-e.html
1968182899561390107,2025-09-17 05:19:04+00:00,,,"El Hospital de A Coruña ‘vigila’ a 2.000 familias con la principal cardiopatía tras la muerte súbita en jóvenes: «Un corazón engrosado siempre hay que estudiarlo bien» 
#fabry #lisosomales #enfermedadesraras  https://t.co/qyZHWL7ZgT a través de @laopinioncoruna",0,0,0,0,es,https://x.com/i/web/status/1968182899561390107,https://www.laopinioncoruna.es/coruna/2025/09/17/hospital-coruna-vigila-2-000-121647916.html?utm_source=twitter&utm_medium=social&utm_campaign=btn-share
1968180093404188871,2025-09-17 05:07:55+00:00,,,"Sangamo Therapeutics ha anunciado resultados preliminares muy positivos en su ensayo clínico de Fase 1/2 STAAR con isaralgagene civaparvovec, una terapia génica para adultos con enfermedad de #Fabry
#enfermedadesraras 
https://t.co/E6COwxzUht https://t.co/UEVUrK0oj1",1,0,0,0,es,https://x.com/i/web/status/1968180093404188871,https://mpslisosomales.org/noticias/investigacion-terapias/avances-esperanzadores-en-terapia-genica-para-la-enfermedad-de-fabry/ https://x.com/MPSpapas/status/1968180093404188871/photo/1
1967847785040056405,2025-09-16 07:07:27+00:00,,,"💡Si buscas apoyo e información sobre la enfermedad de Fabry, únete a nuestro grupo privado de LinkedIn, #FabryLink, para conectar con otros expertos🧩
Enlace⛓️‍💥 https://t.co/HqZguQmrgN
#Fabry #RedFabry
Dirigido a profesionales sanitarios. Colaboración con Sanofi",2,1,0,0,es,https://x.com/i/web/status/1967847785040056405,https://www.linkedin.com/groups/13127985/
1967449767446986950,2025-09-15 04:45:52+00:00,,,"RT @RarasReales: #FabryLink apoyo e información sobre la #EnfermedadDeFabry + conexión con otros expertos en un grupo LinkedIn.

Con la col…",0,3,0,0,es,https://x.com/i/web/status/1967449767446986950,
1966926205979898291,2025-09-13 18:05:25+00:00,,,"La #EnfermedadDeFabry puede presentarse de muchas maneras, por eso cada camino hacia el diagnóstico es único.
https://t.co/cCAyugXqX0",1,0,0,0,es,https://x.com/i/web/status/1966926205979898291,https://x.com/SanofiES/status/1933532869487464577
