id,date,user_username,user_displayname,content,like_count,retweet_count,reply_count,quote_count,lang,url,external_urls
1967847785040056405,2025-09-16 07:07:27+00:00,,,"💡Si buscas apoyo e información sobre la enfermedad de Fabry, únete a nuestro grupo privado de LinkedIn, #FabryLink, para conectar con otros expertos🧩
Enlace⛓️‍💥 https://t.co/HqZguQmrgN
#Fabry #RedFabry
Dirigido a profesionales sanitarios. Colaboración con Sanofi",0,0,0,0,es,https://x.com/i/web/status/1967847785040056405,https://www.linkedin.com/groups/13127985/
1967644689445867697,2025-09-15 17:40:25+00:00,,,"RT @MSBBrandao: 3⃣ #HCM &amp; phenocopies can be distinguished by #WhyCMR LGE + parametric mapping💡

🔑in the era of precision medicine❗️
#HCM -…",0,3,0,0,en,https://x.com/i/web/status/1967644689445867697,
1967570958929297621,2025-09-15 12:47:26+00:00,,,"RT @MSBBrandao: 3⃣ #HCM &amp; phenocopies can be distinguished by #WhyCMR LGE + parametric mapping💡

🔑in the era of precision medicine❗️
#HCM -…",0,3,0,0,en,https://x.com/i/web/status/1967570958929297621,
1967568492699517379,2025-09-15 12:37:38+00:00,,,"RT @MSBBrandao: 3⃣ #HCM &amp; phenocopies can be distinguished by #WhyCMR LGE + parametric mapping💡

🔑in the era of precision medicine❗️
#HCM -…",0,3,0,0,en,https://x.com/i/web/status/1967568492699517379,
1967560334555926926,2025-09-15 12:05:13+00:00,,,"3⃣ #HCM &amp; phenocopies can be distinguished by #WhyCMR LGE + parametric mapping💡

🔑in the era of precision medicine❗️
#HCM - 🫀 myosin inhibitors
#amyloidosis - stabilizers, silencers &amp; 🔜depleters 
#Fabry disease - enzyme therapy and chaperones

Gene therapy in the horizon 🔜 https://t.co/hxMMlqAZsV",11,3,0,0,en,https://x.com/i/web/status/1967560334555926926,https://x.com/MSBBrandao/status/1967560334555926926/photo/1
1967369943445606441,2025-09-14 23:28:41+00:00,,,"@BAMBossie81 @809trader Absolutely agree! Not mentioned the stock price here. Just said #Fabry #Gene #therapy and other #assets will move forward, and $SGMO is far from #bankrupt - despite the doomsayers. 
That said, with commercialization ahead, I believe the stock will rise sooner or later.",1,0,0,0,en,https://x.com/i/web/status/1967369943445606441,
1967319588951240960,2025-09-14 20:08:35+00:00,,,"@staycaffeinated @Drbagholders In order for $SGMO to file a #Fabry #BLA independently - which they could, as they are firmly in the driver’s seat with Fabry, unlike with #HemA (partnered with $PFE) - @SangamoTx will need cash!
In other words: either a partner, dilution, or alternatively, a #buyout (#BO).",13,0,3,0,en,https://x.com/i/web/status/1967319588951240960,
1967150662824624470,2025-09-14 08:57:20+00:00,,,"Initial interim results from the first four subjects treated with $QURE AMT-191 – a high incidence of adverse side effects was observed in this small number of subjects. But it is still too early to make a comparison with $SGMO ST-920. #Fabry
""Two serious side effects related to https://t.co/VaXZxAj2ES",14,0,1,0,en,https://x.com/i/web/status/1967150662824624470,https://x.com/Franca_ole/status/1967150662824624470/photo/1
1966589107724857368,2025-09-12 19:45:55+00:00,,,"RT @rbarvil: ⏰ Just days left! Global leaders &amp; KOLs live on HCM, amyloidosis &amp; Fabry. In a few years you’ll ask why you missed this congre…",0,5,0,0,en,https://x.com/i/web/status/1966589107724857368,
1966427225202237538,2025-09-12 09:02:39+00:00,,,"RT @ZinselmeyerB: @adamfeuerstein Well, that really hinges on who steps in as the new $SGMO #CFO. It's entirely possible that a #VC / priva…",0,1,0,0,en,https://x.com/i/web/status/1966427225202237538,
